DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDS,2018,79351,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDT,2016,274227,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDT,2017,319601,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDT,2018,336253,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDT,2019,348494,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCLP,2016,139523,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCLP,2017,148042,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCLP,2018,130166,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCLP,2019,121116,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCRR,2019,77432,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCTS,2016,254530,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCTS,2017,284630,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCTS,2018,273241,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_GCTS,2019,270319,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEAL,2016,305380,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEAL,2017,354703,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEAL,2018,367333,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEAL,2019,412625,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBB,2016,141787,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBB,2017,149066,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBB,2018,150425,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBB,2019,154677,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBL,2016,889442,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBL,2017,927253,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBL,2018,941334,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEBL,2019,952169,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEMD,2016,763427,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEMD,2017,966452,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_ES_LEMD,2018,1009986,
